equipment,exercise_id,name,link
Body Weight,push-up,"Push-Up Chest / Body Weight The push-up is a fundamental bodyweight exercise that primarily targets the chest, shoulders, and triceps, while also engaging the core and other stabilizing muscles. Here's a step-by-step guide on how to perform a standard push-up: Starting Position: Hand Placement: Place your hands on the ground, slightly wider than shoulder-width apart. Body Alignment: Extend your legs straight behind you, with your feet together or slightly apart. Your body should form a straight line from your head to your heels. Engage Your Core: Tighten your core muscles to keep your body straight and avoid sagging in the lower back. Lowering Phase: Inhale as you bend your elbows and lower your body toward the ground. Keep your elbows at about a 45-degree angle to your body. Lower yourself until your chest nearly touches the ground, while maintaining a straight body line. Pushing Phase: Exhale as you push through your palms to straighten your arms and lift your body back to the starting position. Keep your core engaged and your body in a straight line throughout the movement.",https://www.jefit.com/exercises/47/push-up
Body Weight,plank,"Plank Abs / Body Weight Steps : 1.) Start by kneeling on all fours and aligning both hands right below your shoulders keep your knees beneath your hips. 2.) Extend both of your feet out behind you and squeeze on your core muscles, making sure that your body is aligned straight 3.) Hold this position for about 30 seconds to a minute. 4.) Release, return back to the starting position and repeat for as many times as you would like to perform this exercise.",https://www.jefit.com/exercises/631/plank
Body Weight,running,"Running Cardio / Body Weight Running is one of the most common and effect forms of exercise for muscle toning, weight loss and keeping your lungs and body in shape. Running improves on conditioning the body, endurance, stamina, speed, strength in the legs and core, as well as improving one's posture.",https://www.jefit.com/exercises/317/running
Body Weight,crunch,"Crunch Abs / Body Weight The crunch exercise is the most common abdominal exercise and often is improperly performed. Steps : 1.) Start by placing your hands across your chest or on either side of your head as this will be your starting position. 2.) Then slowly raise your upper body (head, shoulders and chest) up off of the floor and towards your knees, squeezing and crunching your abs. 3) Hold this position for a count, squeezing your abs, then return back to the starting position. Tips : 1.) Make sure to keep your hips straight and your lower back against the floor during this exercise.",https://www.jefit.com/exercises/77/crunch
Body Weight,leg-raise,"Leg Raise Abs / Body Weight The leg raise is a core exercise that primarily targets the lower abdominal muscles. Here’s how to perform it correctly: Starting Position: Lie flat on your back on the floor, a bench or an exercise mat. Place your arms straight down by your sides, palms facing down. You can also tuck your hands slightly under your glutes for added support if needed. Keep your legs straight and together. Engage Your Core: Tighten your abdominal muscles to stabilize your torso throughout the exercise. Press your lower back into the floor to avoid arching. Raise Your Legs: Slowly lift your legs up towards the ceiling, keeping them straight and together. Continue lifting until your legs are perpendicular to the floor or as high as you can comfortably go without lifting your lower back off the floor. Pause: Briefly pause at the top of the movement, maintaining tension in your core. Lower Your Legs: Slowly lower your legs back to the starting position in a controlled manner, keeping them straight and together. Make sure your lower back stays in contact with the floor throughout the movement.",https://www.jefit.com/exercises/44/leg-raise
Body Weight,air-bike,"Air Bike Abs / Body Weight The ""air bike"" ab exercise, also known as bicycle crunches, is an effective way to target your abdominal muscles, especially the obliques. Here’s how to perform this exercise correctly: Starting Position: Lie flat on your back on a mat. Place your hands lightly behind your head, elbows bent and pointing outward. Do not pull on your neck. Lift your legs off the ground and bend your knees at a 90-degree angle. Your lower legs should be parallel to the floor. Engage your core by drawing your belly button toward your spine. Performing the Exercise: Crunch Up and Twist: Simultaneously lift your upper body and twist to bring your right elbow towards your left knee while straightening your right leg. Your left knee should bend and move towards your chest. Breathing: Exhale as you twist and crunch. Alternate Sides: Now, switch sides by bringing your left elbow towards your right knee while straightening your left leg. Your right knee should bend and move towards your chest. Breathing: Exhale as you twist and crunch. Continue Alternating: Continue to alternate sides in a smooth, controlled manner, mimicking the motion of pedaling a bicycle. Maintain a steady pace to ensure proper form and maximum engagement of your abdominal muscles.",https://www.jefit.com/exercises/57/air-bike
Body Weight,bodyweight-squat,"Bodyweight Squat Upper Legs / Body Weight Steps : 1.) Start by positioning your feet shoulder-width apart and bend at the knee, sitting back with your hips. 2.) Extend your arms out in front of you with your hands clasped together and squat down until your knees are parallel with your glutes. 3.) Return back to the starting position. 4.) Repeat this exercise for as many repetitions as needed",https://www.jefit.com/exercises/493/bodyweight-squat
Body Weight,sit-up,"Sit-Up Abs / Body Weight Steps : 1.) To begin this exercise; start off lying with your back flat on the floor. 2.) You can place your feet flat, keep an object above them, or have a partner hold them. 3.) Bend your legs at the knees and place your hands behind your head. 4.) Then lift your upper body towards your knees, contracting your abdominals on the way up. 5.) When reaching the final position, hold and squeeze for a few seconds then return back to the starting position. 6.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/345/sit-up
Body Weight,reverse-crunch,"Reverse Crunch Abs / Body Weight Steps : 1.) Start with your back flat on the floor and your legs extended and knees bent. 2.) Your arms should be at your sides during the entire exercise. 3.) Keeping your knees bent, move your legs up in the air, followed by inhaling and moving your legs towards your chest, rolling your pelvis back and lift your hips up off of the floor. 4.) Squeeze your abs as you reach the final position, hold on for a few seconds then return your legs back to the starting position. 5.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/338/reverse-crunch
Body Weight,side-plank,"Side Plank Abs / Body Weight Steps : 1.) Start by lying on your right side with legs extended out, one foot on top of the other and placing your right elbow right underneath your right shoulder. 2.) Elevate your hips and draw inward towards your spine, lifting the body onto the forearm and hold for 30 seconds to a minute then lower back to the floor. 3.) Repeat for as many reps and sets as desired then repeat with the opposite side.",https://www.jefit.com/exercises/633/side-plank
