muscle_group,exercise_id,name,link
Abs,plank,"Plank Abs / Body Weight Steps : 1.) Start by kneeling on all fours and aligning both hands right below your shoulders keep your knees beneath your hips. 2.) Extend both of your feet out behind you and squeeze on your core muscles, making sure that your body is aligned straight 3.) Hold this position for about 30 seconds to a minute. 4.) Release, return back to the starting position and repeat for as many times as you would like to perform this exercise.",https://www.jefit.com/exercises/631/plank
Abs,machine-ab-crunch,"Machine Ab Crunch Abs / Strength Machine A Machine Ab Crunch, often referred to as a ""Crunch Machine"" exercise, is a popular way to target the abdominal muscles. Here’s a step-by-step guide on how to perform this exercise correctly: Set Up Adjust the Seat and Back Pad: Ensure the seat height is adjusted so that your knees are at a 90-degree angle when seated. The back pad should support your back comfortably. Your upper back should be against the pad. Select the Weight: Choose an appropriate weight for your fitness level. Start with a lighter weight if you are new to this exercise and increase it as you become more comfortable. Sit Down: Sit on the machine with your back pressed firmly against the back pad. Place your feet under the foot pads (if available) or flat on the floor, depending on the machine design. Grab the handles above your shoulders or next to your head, depending on the machine’s design. Engage Your Core: Tighten your abdominal muscles before starting the movement. Slowly contract your abs to curl your torso forward. Your upper body should move towards your knees. Breathing: Exhale as you crunch forward. Range of Motion: Aim to move through a full range of motion, but avoid using momentum or swinging your body. Hold the Contraction: Pause briefly at the peak of the movement to maximize the contraction in your abs. Slowly release the contraction and return to the starting position. Inhale as you return to the starting position.",https://www.jefit.com/exercises/56/machine-ab-crunch
Abs,crunch,"Crunch Abs / Body Weight The crunch exercise is the most common abdominal exercise and often is improperly performed. Steps : 1.) Start by placing your hands across your chest or on either side of your head as this will be your starting position. 2.) Then slowly raise your upper body (head, shoulders and chest) up off of the floor and towards your knees, squeezing and crunching your abs. 3) Hold this position for a count, squeezing your abs, then return back to the starting position. Tips : 1.) Make sure to keep your hips straight and your lower back against the floor during this exercise.",https://www.jefit.com/exercises/77/crunch
Abs,leg-raise,"Leg Raise Abs / Body Weight The leg raise is a core exercise that primarily targets the lower abdominal muscles. Here’s how to perform it correctly: Starting Position: Lie flat on your back on the floor, a bench or an exercise mat. Place your arms straight down by your sides, palms facing down. You can also tuck your hands slightly under your glutes for added support if needed. Keep your legs straight and together. Engage Your Core: Tighten your abdominal muscles to stabilize your torso throughout the exercise. Press your lower back into the floor to avoid arching. Raise Your Legs: Slowly lift your legs up towards the ceiling, keeping them straight and together. Continue lifting until your legs are perpendicular to the floor or as high as you can comfortably go without lifting your lower back off the floor. Pause: Briefly pause at the top of the movement, maintaining tension in your core. Lower Your Legs: Slowly lower your legs back to the starting position in a controlled manner, keeping them straight and together. Make sure your lower back stays in contact with the floor throughout the movement.",https://www.jefit.com/exercises/44/leg-raise
Abs,hanging-leg-raise,"Hanging Leg Raise Abs / Pullup Bar The Hanging Leg Raise is a core exercise that targets the abdominal muscles, particularly the lower abs, and also engages the hip flexors, grip, and shoulders. Here’s a step-by-step guide on how to perform the exercise correctly: Starting Position: Find a pull-up bar or a secure overhead bar that can support your weight. Grip the bar with an overhand (pronated) grip, hands shoulder-width apart. Let your body hang freely with your arms fully extended and legs straight. Keep your core engaged to avoid swinging. Execution: Tighten your core muscles before you start the movement. Keeping your legs straight, lift them up towards your torso. Aim to bring your feet as high as possible, ideally reaching the level of the bar or higher if your flexibility allows. Exhale as you lift your legs up. Top Position: Pause briefly at the top of the movement, ensuring that your core is fully engaged and your legs are controlled. Your body should form an L-shape if you can lift your legs to a 90-degree angle with your torso. Lowering Phase: Slowly lower your legs back to the starting position in a controlled manner. Avoid swinging or using momentum. Inhale as you lower your legs.",https://www.jefit.com/exercises/61/hanging-leg-raise
Abs,cable-kneeling-crunch-rope,Cable Kneeling Crunch (Rope) Abs / Strength Machine Steps : 1.) Kneel below a high pulley that contains a rope attachment. 2.) Grasp cable rope attachment and lower the rope until your hands are near your cheeks. 3.) Crunch down with your abs so that your face gets very close to the ground. 4.) Kneel back up slowly and inhale. 5.) Repeat for the desired amount of reps. Tips : 1.) For a more intense work out go at a slower pace.,https://www.jefit.com/exercises/79/cable-kneeling-crunch-rope
Abs,weight-plate-russian-twist,"Weight Plate Russian Twist Abs / Weight Plate Steps : 1.) Start off with your back on the floor and your feet under a bench or have a partner holding them. 2.) Bend your knees and lift your upper body off of the floor as if you were in a final sit up position, then stick your arms out in front of your chest with your hands together. 3.) When you are in place, twist your torso to the right while exhaling, holding on and squeezing your abs for a few seconds as you reach the side. 4.) Move back to the starting position as you exhale, then back in the starting position, repeat the exercise in the alternate direction. 5.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/339/weight-plate-russian-twist
Abs,air-bike,"Air Bike Abs / Body Weight The ""air bike"" ab exercise, also known as bicycle crunches, is an effective way to target your abdominal muscles, especially the obliques. Here’s how to perform this exercise correctly: Starting Position: Lie flat on your back on a mat. Place your hands lightly behind your head, elbows bent and pointing outward. Do not pull on your neck. Lift your legs off the ground and bend your knees at a 90-degree angle. Your lower legs should be parallel to the floor. Engage your core by drawing your belly button toward your spine. Performing the Exercise: Crunch Up and Twist: Simultaneously lift your upper body and twist to bring your right elbow towards your left knee while straightening your right leg. Your left knee should bend and move towards your chest. Breathing: Exhale as you twist and crunch. Alternate Sides: Now, switch sides by bringing your left elbow towards your right knee while straightening your left leg. Your right knee should bend and move towards your chest. Breathing: Exhale as you twist and crunch. Continue Alternating: Continue to alternate sides in a smooth, controlled manner, mimicking the motion of pedaling a bicycle. Maintain a steady pace to ensure proper form and maximum engagement of your abdominal muscles.",https://www.jefit.com/exercises/57/air-bike
Abs,decline-crunch,"Decline Crunch Abs / Strength Machine The decline crunch exercise allows you to keep your legs steady and isolate all of the ab muscles. Steps : 1.) Start by lying with your back flat on a decline bench and placing your feet securely under the foot rest pads as this will be your starting position. 2.) Then place your hands either across your chest or on either side of your head then lie back fully and slowly rise with your upper body, crunch your abdominals. 3.) Continue forward until you feel a tightening in your ab muscles and hold for a count. 4.) Return to the starting position and repeat for as many repetitions and sets as desired. Tips : 1.) Use the full range of movement in this exercise for the optimal results.",https://www.jefit.com/exercises/78/decline-crunch
Abs,dumbbell-side-bend,"Dumbbell Side Bend Abs / Dumbbell The dumbbell side bend exercise works the oblique muscles (which are the muscles on the sides of your abs.) Steps : 1.) Start by standing with your feet shoulder-width apart with your knees slightly bent and abs drawn in. 2.) Grab a dumbbell in one hand, stand up straight and then bend at the waist to one side of your body as far as possible. 3.) Hold onto the position for a count, squeezing your abdominal muscles and the return back to the starting position. 4.) Switch to the other side and repeat for as many reps and sets as desired. Tips : 1.) Be careful to bend only at your waist and not at the hips or knees.",https://www.jefit.com/exercises/80/dumbbell-side-bend
Abs,parallel-bar-leg-raise,"Parallel Bar Leg Raise Abs / Strength Machine Steps : 1.) Start by positioning yourself on parallel bars by placing your back on the padding, forearms rested upon the arm rests and grabbing the handles in front of you. 2.) Keep your legs extended and together, then slowly elevate your feet up towards the ceiling, still keeping them together and straight. 3.) Squeeze your lower abs as much possible on the way up and go up as far as possible, hold for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/1273/parallel-bar-leg-raise
Abs,sit-up,"Sit-Up Abs / Body Weight Steps : 1.) To begin this exercise; start off lying with your back flat on the floor. 2.) You can place your feet flat, keep an object above them, or have a partner hold them. 3.) Bend your legs at the knees and place your hands behind your head. 4.) Then lift your upper body towards your knees, contracting your abdominals on the way up. 5.) When reaching the final position, hold and squeeze for a few seconds then return back to the starting position. 6.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/345/sit-up
Abs,weighted-crunch,"Weighted Crunch Abs / Weight Plate Steps : 1.) Start by laying flat on your back on the ground and feet rested at a 90 degree angle on a bench. 2.) Hold a weight to your chest or extended out in front of you, then slowly elevate your shoulders off of the floor while your lower back keeps you positioned on the floor. 3.) As soon as you feel tension in your abs, squeeze and hold for a few seconds, release and return back to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/803/weighted-crunch
Abs,reverse-crunch,"Reverse Crunch Abs / Body Weight Steps : 1.) Start with your back flat on the floor and your legs extended and knees bent. 2.) Your arms should be at your sides during the entire exercise. 3.) Keeping your knees bent, move your legs up in the air, followed by inhaling and moving your legs towards your chest, rolling your pelvis back and lift your hips up off of the floor. 4.) Squeeze your abs as you reach the final position, hold on for a few seconds then return your legs back to the starting position. 5.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/338/reverse-crunch
